GEOID,Name,state_new,,,,,
05000US12121,"Suwannee County, Florida",DX,,,,,
05000US12123,"Taylor County, Florida",SU,,,,,
05000US12125,"Union County, Florida",FC,,,,,
05000US12127,"Volusia County, Florida",FC,,,,,
05000US12129,"Wakulla County, Florida",DX,,,,,
05000US12131,"Walton County, Florida",DX,,,,,
05000US12133,"Washington County, Florida",DX,,,,,
05000US13001,"Appling County, Georgia",MG,,,,,
05000US13003,"Atkinson County, Georgia",MG,,,,,
05000US13005,"Bacon County, Georgia",MG,,,,,
05000US13007,"Baker County, Georgia",DX,,,,,
05000US13009,"Baldwin County, Georgia",MG,,,,,
05000US13011,"Banks County, Georgia",PT,,,,,
05000US13013,"Barrow County, Georgia",PT,,,,,
05000US13015,"Bartow County, Georgia",PT,,,,,
05000US13017,"Ben Hill County, Georgia",MG,,,,,
05000US13019,"Berrien County, Georgia",DX,,,,,
05000US13021,"Bibb County, Georgia",MG,,,,,
05000US13023,"Bleckley County, Georgia",MG,,,,,
05000US13025,"Brantley County, Georgia",MG,,,,,
05000US13027,"Brooks County, Georgia",DX,,,,,
05000US13029,"Bryan County, Georgia",FC,,,,,
05000US13031,"Bulloch County, Georgia",MG,,,,,
05000US13033,"Burke County, Georgia",MG,,,,,
05000US13035,"Butts County, Georgia",MG,,,,,
05000US13037,"Calhoun County, Georgia",DX,,,,,
05000US13039,"Camden County, Georgia",FC,,,,,
05000US13043,"Candler County, Georgia",MG,,,,,
05000US13045,"Carroll County, Georgia",PT,,,,,
05000US13047,"Catoosa County, Georgia",AP,,,,,
05000US13049,"Charlton County, Georgia",MG,,,,,
05000US13051,"Chatham County, Georgia",FC,,,,,
05000US13053,"Chattahoochee County, Georgia",DX,,,,,
05000US13055,"Chattooga County, Georgia",MG,,,,,
05000US13057,"Cherokee County, Georgia",PT,,,,,
05000US13059,"Clarke County, Georgia",PT,,,,,
05000US13061,"Clay County, Georgia",DX,,,,,
05000US13063,"Clayton County, Georgia",PT,,,,,
05000US13065,"Clinch County, Georgia",DX,,,,,
05000US13067,"Cobb County, Georgia",PT,,,,,
05000US13069,"Coffee County, Georgia",MG,,,,,
05000US13071,"Colquitt County, Georgia",DX,,,,,
05000US13073,"Columbia County, Georgia",MG,,,,,
05000US13075,"Cook County, Georgia",DX,,,,,
05000US13077,"Coweta County, Georgia",PT,,,,,
05000US13079,"Crawford County, Georgia",MG,,,,,
05000US13081,"Crisp County, Georgia",DX,,,,,
05000US13083,"Dade County, Georgia",AP,,,,,
05000US13085,"Dawson County, Georgia",PT,,,,,
05000US13087,"Decatur County, Georgia",DX,,,,,
05000US13089,"DeKalb County, Georgia",PT,,,,,
05000US13091,"Dodge County, Georgia",MG,,,,,
05000US13093,"Dooly County, Georgia",DX,,,,,
05000US13095,"Dougherty County, Georgia",DX,,,,,
05000US13097,"Douglas County, Georgia",PT,,,,,
05000US13099,"Early County, Georgia",DX,,,,,
05000US13101,"Echols County, Georgia",DX,,,,,
05000US13103,"Effingham County, Georgia",DX,,,,,
05000US13105,"Elbert County, Georgia",MG,,,,,
05000US13107,"Emanuel County, Georgia",MG,,,,,
05000US13109,"Evans County, Georgia",MG,,,,,
05000US13111,"Fannin County, Georgia",PT,,,,,
05000US13113,"Fayette County, Georgia",PT,,,,,
05000US13115,"Floyd County, Georgia",MG,,,,,
05000US13117,"Forsyth County, Georgia",PT,,,,,
05000US13119,"Franklin County, Georgia",MG,,,,,
05000US13121,"Fulton County, Georgia",PT,,,,,
05000US13123,"Gilmer County, Georgia",PT,,,,,
05000US13125,"Glascock County, Georgia",MG,,,,,
05000US13127,"Glynn County, Georgia",FC,,,,,
05000US13129,"Gordon County, Georgia",PT,,,,,
05000US13131,"Grady County, Georgia",DX,,,,,
05000US13133,"Greene County, Georgia",MG,,,,,
05000US13135,"Gwinnett County, Georgia",PT,,,,,
05000US13137,"Habersham County, Georgia",pt,,,,,
05000US13139,"Hall County, Georgia",PT,,,,,
05000US13141,"Hancock County, Georgia",MG,,,,,
05000US13143,"Haralson County, Georgia",MG,,,,,
05000US13145,"Harris County, Georgia",DX,,,,,
05000US13147,"Hart County, Georgia",MG,,,,,
05000US13149,"Heard County, Georgia",DX,,,,,
05000US13151,"Henry County, Georgia",PT,,,,,
05000US13153,"Houston County, Georgia",MG,,,,,
