GEOID,state_new
05000US24009,MX
05000US24011,MX
05000US24013,MX
05000US24015,MX
05000US24017,MX
05000US24019,MX
05000US24021,MX
05000US24023,MX
05000US24025,MX
05000US24027,FE
05000US24029,MX
05000US24031,FE
05000US24033,FE
05000US24035,MX
05000US24037,MX
05000US24039,MX
05000US24041,MX
05000US24043,MX
05000US24045,MX
05000US24047,MX
05000US24510,FE
05000US25001,BO
05000US25003,NN
05000US25005,BO
05000US25007,BO
05000US25009,BO
05000US25011,NN
05000US25013,NN
05000US25015,NN
05000US25017,BO
05000US25019,BO
05000US25021,BO
05000US25023,BO
05000US25025,BO
05000US25027,NN
05000US26001,LL
05000US26003,UM
05000US26005,LL
05000US26007,LL
05000US26009,LL
05000US26011,LL
05000US26013,SL
05000US26015,LL
05000US26017,LL
05000US26019,LL
05000US26021,SL
05000US26023,LL
05000US26025,LL
05000US26027,LL
05000US26029,LL
05000US26031,LL
05000US26033,UM
05000US26035,LL
05000US26037,LL
05000US26039,LL
05000US26041,UM
05000US26043,SL
05000US26045,LL
05000US26047,LL
05000US26049,LL
05000US26051,LL
05000US26053,UM
05000US26055,LL
05000US26057,LL
05000US26059,LL
05000US26061,UM
05000US26063,LL
05000US26065,LL
05000US26067,LL
05000US26069,LL
05000US26071,SL
05000US26073,LL
05000US26075,LL
05000US26077,LL
05000US26079,LL
05000US26081,LL
05000US26083,SL
05000US26085,LL
05000US26087,LL
05000US26089,LL
05000US26091,LL
05000US26093,LL
05000US26095,UM
05000US26097,UM
05000US26099,ER
05000US26101,LL
05000US26103,SL
05000US26105,LL
05000US26107,LL
05000US26109,SL
05000US26111,LL
05000US26113,LL
05000US26115,ER
05000US26117,LL
05000US26119,LL
05000US26121,LL
05000US26123,LL
05000US26125,LL
05000US26127,LL
05000US26129,LL
05000US26131,UM
05000US26133,LL
05000US26135,LL
05000US26137,LL
05000US26139,LL
05000US26141,LL
05000US26143,LL
05000US26145,LL
05000US26147,ER
05000US26149,LL
05000US26151,LL
05000US26153,UM
05000US26155,LL
05000US26157,LL
05000US26159,SL
05000US26161,LL
05000US26163,ER
05000US26165,LL
05000US27001,UM
05000US27003,UM
05000US27005,UM
